date_key,portfolio_id,total_market_value,net_flow
20230106,PRT00004,167237.03,1647.8099999999977
20230109,PRT00004,167466.43,0.0
20230110,PRT00004,167010.49000000002,0.0
20230111,PRT00004,166613.94,0.0
20230112,PRT00004,167230.31,0.0
20230113,PRT00004,168406.55000000002,0.0
20230116,PRT00004,168310.37,0.0
20230116,PRT00027,375638.45999999996,5627.8800000000065
20230117,PRT00004,167474.09,0.0
20230117,PRT00027,374695.31,0.0
20230118,PRT00004,167769.73,0.0
20230118,PRT00027,375143.74,0.0
20230119,PRT00004,168278.83000000002,0.0
20230119,PRT00027,376287.97000000003,0.0
20230120,PRT00004,168154.37,0.0
20230120,PRT00027,376880.28,0.0
20230123,PRT00004,168459.4,0.0
20230123,PRT00027,377283.92,0.0
20230124,PRT00004,168657.45,0.0
20230124,PRT00027,377889.11,0.0
20230125,PRT00001,230913.05000000002,2275.330000000003
20230125,PRT00004,168253.41,0.0
20230125,PRT00027,376635.41,0.0
20230126,PRT00001,229882.49,0.0
20230126,PRT00004,167840.66,0.0
20230126,PRT00011,253242.22,3794.1099999999974
20230126,PRT00027,376053.41,0.0
20230127,PRT00001,228340.1,0.0
20230127,PRT00004,166987.5,0.0
20230127,PRT00011,252538.62,0.0
20230127,PRT00017,144342.02000000002,1422.3500000000008
20230127,PRT00027,375039.46,0.0
20230130,PRT00001,228357.13,0.0
20230130,PRT00004,167128.99000000002,0.0
20230130,PRT00011,252911.53,0.0
20230130,PRT00016,225160.0,3373.379999999994
20230130,PRT00017,144479.51,0.0
20230130,PRT00027,375751.63,0.0
20230131,PRT00001,228009.82,0.0
20230131,PRT00004,167210.61000000002,0.0
20230131,PRT00011,252616.12,0.0
20230131,PRT00013,219112.42,2159.029999999998
20230131,PRT00016,224866.5,0.0
20230131,PRT00017,144634.64,0.0
20230131,PRT00021,452108.37,4454.949999999991
20230131,PRT00027,375213.07,0.0
20230201,PRT00001,228655.9,9.740000000000027
20230201,PRT00004,168025.1,28.30000000000002
20230201,PRT00011,253812.46,35.83000000000001
20230201,PRT00013,220744.79,38.14000000000008
20230201,PRT00016,225913.91,31.999999999999982
20230201,PRT00017,145212.68,10.570000000000018
20230201,PRT00021,452013.57,11.179999999999975
20230201,PRT00027,375394.91000000003,20.659999999999947
20230202,PRT00001,226034.71,0.0
20230202,PRT00004,166364.07,0.0
20230202,PRT00011,252325.15,0.0
20230202,PRT00013,217939.81,0.0
20230202,PRT00016,224812.38,0.0
