transaction_id,trade_date_key,portfolio_id,asset_id,transaction_type,quantity,price,gross_amount,fee_amount,net_amount,cash_impact,notes
TXN00000001,20230125,PRT00001,CASH0001,DEPOSIT,116622.71,1.0,116622.71,0.0,116622.71,116622.71,Initial funding
TXN00000002,20230125,PRT00001,AST0008,BUY,69.77571422,83.5697,5831.14,2.92,5834.05,-5834.05,Initial allocation
TXN00000003,20230125,PRT00001,AST0015,BUY,43.59255911,133.7645,5831.14,2.92,5834.05,-5834.05,Initial allocation
TXN00000004,20230125,PRT00001,AST0045,BUY,84.88181491,68.6971,5831.14,2.92,5834.05,-5834.05,Initial allocation
TXN00000005,20230125,PRT00001,AST0054,BUY,151.52461448,38.4831,5831.14,2.92,5834.05,-5834.05,Initial allocation
TXN00000006,20230125,PRT00001,AST0030,BUY,28.1433873,207.1938,5831.14,2.92,5834.05,-5834.05,Initial allocation
TXN00000007,20230125,PRT00001,AST0037,BUY,94.06466531,61.9907,5831.14,2.92,5834.05,-5834.05,Initial allocation
TXN00000008,20230125,PRT00001,AST0060,BUY,270.20227987,21.5806,5831.14,2.92,5834.05,-5834.05,Initial allocation
TXN00000009,20230125,PRT00001,AST0051,BUY,132.15977415,44.1219,5831.14,2.92,5834.05,-5834.05,Initial allocation
TXN00000010,20230125,PRT00001,AST0025,BUY,263.82259952,22.1025,5831.14,2.92,5834.05,-5834.05,Initial allocation
TXN00000011,20230125,PRT00001,AST0049,BUY,229.76583732,25.3786,5831.14,2.92,5834.05,-5834.05,Initial allocation
TXN00000012,20230125,PRT00001,AST0019,BUY,27.62319227,211.0956,5831.14,2.92,5834.05,-5834.05,Initial allocation
TXN00000013,20230125,PRT00001,AST0006,BUY,65.16723243,89.4796,5831.14,2.92,5834.05,-5834.05,Initial allocation
TXN00000014,20230125,PRT00001,AST0059,BUY,37.53669897,155.3449,5831.14,2.92,5834.05,-5834.05,Initial allocation
TXN00000015,20230125,PRT00001,AST0042,BUY,22.23797778,262.2152,5831.14,2.92,5834.05,-5834.05,Initial allocation
TXN00000016,20230125,PRT00001,AST0050,BUY,64.40067835,90.5446,5831.14,2.92,5834.05,-5834.05,Initial allocation
TXN00000017,20230125,PRT00001,AST0009,BUY,62.82190448,92.8201,5831.14,2.92,5834.05,-5834.05,Initial allocation
TXN00000018,20230125,PRT00001,AST0057,BUY,51.61470141,112.9743,5831.14,2.92,5834.05,-5834.05,Initial allocation
TXN00000019,20230125,PRT00001,AST0043,BUY,55.26033822,105.5212,5831.14,2.92,5834.05,-5834.05,Initial allocation
TXN00000020,20230125,PRT00001,AST0033,BUY,86.56318908,67.3628,5831.14,2.92,5834.05,-5834.05,Initial allocation
TXN00000021,20230125,PRT00001,AST0020,BUY,41.64651674,84.009,3498.68,1.75,3500.43,-3500.43,Initial allocation
TXN00000022,20230201,PRT00001,CASH0001,DEPOSIT,570.19,1.0,570.19,0.0,570.19,570.19,Recurring deposit
TXN00000023,20230201,PRT00001,CASH0001,FEE,6.46,1.0,6.46,0.0,6.46,-6.46,Monthly fee
TXN00000024,20230201,PRT00001,CASH0001,DIVIDEND,9.81,1.0,9.81,0.0,9.81,9.81,Dividend credit (synthetic)
TXN00000025,20230201,PRT00001,AST0008,BUY,0.35388682,80.5616,28.51,0.25,28.76,-28.76,Invest deposit (target weights)
TXN00000026,20230201,PRT00001,AST0015,BUY,0.21431633,133.0262,28.51,0.25,28.76,-28.76,Invest deposit (target weights)
TXN00000027,20230201,PRT00001,AST0045,BUY,0.42975147,66.34,28.51,0.25,28.76,-28.76,Invest deposit (target weights)
TXN00000028,20230201,PRT00001,AST0054,BUY,0.77808062,36.6411,28.51,0.25,28.76,-28.76,Invest deposit (target weights)
TXN00000029,20230201,PRT00001,AST0030,BUY,0.14656214,194.5229,28.51,0.25,28.76,-28.76,Invest deposit (target weights)
TXN00000030,20230201,PRT00001,AST0037,BUY,0.47855296,59.5748,28.51,0.25,28.76,-28.76,Invest deposit (target weights)
TXN00000031,20230201,PRT00001,AST0060,BUY,1.34659703,21.1717,28.51,0.25,28.76,-28.76,Invest deposit (target weights)
TXN00000032,20230201,PRT00001,AST0051,BUY,0.70530588,40.4217,28.51,0.25,28.76,-28.76,Invest deposit (target weights)
TXN00000033,20230201,PRT00001,AST0025,BUY,1.34693141,21.1664,28.51,0.25,28.76,-28.76,Invest deposit (target weights)
TXN00000034,20230201,PRT00001,AST0049,BUY,1.10716757,25.7501,28.51,0.25,28.76,-28.76,Invest deposit (target weights)
TXN00000035,20230201,PRT00001,AST0019,BUY,0.14708353,193.8334,28.51,0.25,28.76,-28.76,Invest deposit (target weights)
TXN00000036,20230201,PRT00001,AST0006,BUY,0.33517566,85.059,28.51,0.25,28.76,-28.76,Invest deposit (target weights)
TXN00000037,20230201,PRT00001,AST0059,BUY,0.18672857,152.6799,28.51,0.25,28.76,-28.76,Invest deposit (target weights)
TXN00000038,20230201,PRT00001,AST0042,BUY,0.11176667,255.0823,28.51,0.25,28.76,-28.76,Invest deposit (target weights)
TXN00000039,20230201,PRT00001,AST0050,BUY,0.31492267,90.5292,28.51,0.25,28.76,-28.76,Invest deposit (target weights)
TXN00000040,20230201,PRT00001,AST0009,BUY,0.30647468,93.0246,28.51,0.25,28.76,-28.76,Invest deposit (target weights)
TXN00000041,20230201,PRT00001,AST0057,BUY,0.2524887,112.9147,28.51,0.25,28.76,-28.76,Invest deposit (target weights)
TXN00000042,20230201,PRT00001,AST0043,BUY,0.27101521,105.1959,28.51,0.25,28.76,-28.76,Invest deposit (target weights)
TXN00000043,20230201,PRT00001,AST0033,BUY,0.44657032,63.8414,28.51,0.25,28.76,-28.76,Invest deposit (target weights)
TXN00000044,20230201,PRT00001,AST0020,BUY,0.2035316,84.045,17.11,0.25,17.36,-17.36,Invest deposit (target weights)
TXN00000045,20230301,PRT00001,CASH0001,DEPOSIT,574.49,1.0,574.49,0.0,574.49,574.49,Recurring deposit
TXN00000046,20230301,PRT00001,CASH0001,FEE,4.1,1.0,4.1,0.0,4.1,-4.1,Monthly fee
TXN00000047,20230301,PRT00001,CASH0001,DIVIDEND,15.47,1.0,15.47,0.0,15.47,15.47,Dividend credit (synthetic)
TXN00000048,20230301,PRT00001,AST0008,BUY,0.3063927,93.7498,28.72,0.25,28.97,-28.97,Invest deposit (target weights)
TXN00000049,20230301,PRT00001,AST0015,BUY,0.22298499,128.817,28.72,0.25,28.97,-28.97,Invest deposit (target weights)
TXN00000050,20230301,PRT00001,AST0045,BUY,0.38318308,74.9622,28.72,0.25,28.97,-28.97,Invest deposit (target weights)
TXN00000051,20230301,PRT00001,AST0054,BUY,0.81530403,35.2313,28.72,0.25,28.97,-28.97,Invest deposit (target weights)
